Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Scott Stallings (16323616),Scott Stallings,16323616,G,6500,Waste Management Phoenix Open,Golf,45.12
G,Keith Mitchell (16323617),Keith Mitchell,16323617,G,6500,Waste Management Phoenix Open,Golf,50.61
G,Sam Ryder (16323618),Sam Ryder,16323618,G,6500,Waste Management Phoenix Open,Golf,43.6
G,Brian Stuard (16323619),Brian Stuard,16323619,G,6400,Waste Management Phoenix Open,Golf,57.14
G,J.B. Holmes (16323620),J.B. Holmes,16323620,G,6400,Waste Management Phoenix Open,Golf,49.75
G,Xinjun Zhang (16323621),Xinjun Zhang,16323621,G,6400,Waste Management Phoenix Open,Golf,51.64
G,Robby Shelton (16323622),Robby Shelton,16323622,G,6400,Waste Management Phoenix Open,Golf,49.75
G,Tyler Duncan (16323623),Tyler Duncan,16323623,G,6400,Waste Management Phoenix Open,Golf,46.91
G,Danny Lee (16323624),Danny Lee,16323624,G,6400,Waste Management Phoenix Open,Golf,44.06
G,Adam Schenk (16323625),Adam Schenk,16323625,G,6400,Waste Management Phoenix Open,Golf,55.96
G,Vincent Whaley (16323626),Vincent Whaley,16323626,G,6400,Waste Management Phoenix Open,Golf,56.96
G,Andrew Putnam (16323627),Andrew Putnam,16323627,G,6300,Waste Management Phoenix Open,Golf,50.14
G,Vaughn Taylor (16323628),Vaughn Taylor,16323628,G,6300,Waste Management Phoenix Open,Golf,49.56
G,Hudson Swafford (16323629),Hudson Swafford,16323629,G,6300,Waste Management Phoenix Open,Golf,52.17
G,Troy Merritt (16323630),Troy Merritt,16323630,G,6300,Waste Management Phoenix Open,Golf,49.5
G,Beau Hossler (16323631),Beau Hossler,16323631,G,6300,Waste Management Phoenix Open,Golf,50.65
G,Nate Lashley (16323632),Nate Lashley,16323632,G,6300,Waste Management Phoenix Open,Golf,49.75
G,John Augenstein (16323633),John Augenstein,16323633,G,6300,Waste Management Phoenix Open,Golf,34.17
G,Will Gordon (16323634),Will Gordon,16323634,G,6300,Waste Management Phoenix Open,Golf,55.18
G,Sung Kang (16323635),Sung Kang,16323635,G,6200,Waste Management Phoenix Open,Golf,40.05
G,Martin Trainer (16323636),Martin Trainer,16323636,G,6200,Waste Management Phoenix Open,Golf,31
G,Davis Riley (16323637),Davis Riley,16323637,G,6200,Waste Management Phoenix Open,Golf,68.17
G,Ted Potter Jr. (16323638),Ted Potter Jr.,16323638,G,6200,Waste Management Phoenix Open,Golf,34.17
G,Jamie Lovemark (16323639),Jamie Lovemark,16323639,G,6200,Waste Management Phoenix Open,Golf,51.12
G,William McGirt (16323640),William McGirt,16323640,G,6200,Waste Management Phoenix Open,Golf,35.4
G,Michael Kim (16323641),Michael Kim,16323641,G,6200,Waste Management Phoenix Open,Golf,32.32
G,Jason Dufner (16323642),Jason Dufner,16323642,G,6200,Waste Management Phoenix Open,Golf,43.89
G,Kyoung-Hoon Lee (16323643),Kyoung-Hoon Lee,16323643,G,6100,Waste Management Phoenix Open,Golf,50
G,Luke Donald (16323644),Luke Donald,16323644,G,6100,Waste Management Phoenix Open,Golf,34.94
G,Grayson Murray (16323645),Grayson Murray,16323645,G,6100,Waste Management Phoenix Open,Golf,31.62
G,Kevin Stadler (16323646),Kevin Stadler,16323646,G,6100,Waste Management Phoenix Open,Golf,22.75
G,Brian Gay (16323647),Brian Gay,16323647,G,6100,Waste Management Phoenix Open,Golf,59.67
G,Scott Brown (16323648),Scott Brown,16323648,G,6100,Waste Management Phoenix Open,Golf,42.61
G,Kevin Tway (16323649),Kevin Tway,16323649,G,6100,Waste Management Phoenix Open,Golf,36.45
G,Jimmy Walker (16323650),Jimmy Walker,16323650,G,6100,Waste Management Phoenix Open,Golf,38.44
G,Satoshi Kodaira (16323651),Satoshi Kodaira,16323651,G,6000,Waste Management Phoenix Open,Golf,48.33
G,Hunter Mahan (16323652),Hunter Mahan,16323652,G,6000,Waste Management Phoenix Open,Golf,38.15
G,Jesse Mueller (16323653),Jesse Mueller,16323653,G,6000,Waste Management Phoenix Open,Golf,0
G,Scott Harrington (16323654),Scott Harrington,16323654,G,6000,Waste Management Phoenix Open,Golf,43.4
G,Kelly Kraft (16323655),Kelly Kraft,16323655,G,6000,Waste Management Phoenix Open,Golf,50.56
G,Bo Van Pelt (16323656),Bo Van Pelt,16323656,G,6000,Waste Management Phoenix Open,Golf,26.78
G,Camilo Villegas (16323657),Camilo Villegas,16323657,G,6000,Waste Management Phoenix Open,Golf,56.17
G,Mark Anguiano (16323658),Mark Anguiano,16323658,G,6000,Waste Management Phoenix Open,Golf,0
